name	short_name	vat	ISO2	country	organization_type	address	city	zip
Asociación de Investigación Cooperativa en Biomateriales	CIC biomaGUNE	ESG20788840	ES	Spain	Technology Centre	Pº Miramón 194	San Sebastián	20014
Bio Imagen Complutense	BioImaC	ESQ2818014I	ES	Spain	Public Research Organisation (PRO)	"Pº de Juan XXIII, 1"	Madrid	28040
Imaging La Fe		ESG97067557	ES	Spain	Public Research Organisation (PRO)	Av. Fernando Abril Martorell 106. Planta -1	Valencia	46026
Advanced Translational Imaging	TRIMA-CNIC	ESG82316753	ES	Spain	Public Research Organisation (PRO)	Melchor Fernández Almagro 3	Madrid	28029
Universidad Complutense de Madrid	UCM	ESQ2818014I	ES	Spain	Higher Education Institution (HEI)	Av. Séneca 2	Madrid	28040
Centro Nacional de Investigaciones Cardiovasculares Carlos III	CNIC	ESG82316753	ES	Spain	Public Research Organisation (PRO)	Melchor Fernández Almagro 3	Madrid	28029
AIT Austrian Institute of Technology GmbH	AIT	ATU14703506	AT	Austria	Technology Centre	Giefinggasse 4	Vienna	01210
Asociación de Investigación Cooperativa en Biología	CIC bioGUNE	ESG95229142	ES	Spain	Technology Centre	Parque Científico Tecnológico de Bizkaia building 801A	Derio	48160
Centro de Biología Molecular Severo Ochoa CSIC-UAM	CBMSO-UAM	ESG28926475	ES	Spain	Public Research Organisation (PRO)	Nicolás Cabrera 1	Cantoblanco	28049
Centro Nacional de Biotecnología-CSIC	CNB-CSIC	ESQ2818002D	ES	Spain	Public Research Organisation (PRO)	Darwin 3	Cantoblanco	28049
Fundación de Investigación Médica Aplicada	FIMA	ESG82198524	ES	Spain	Public Research Organisation (PRO)	Av. Pio XII 55	Pamplona	31008
Centro de Investigaciones Biológicas Margarita Salas - CSIC	CIB-CSIC	ESG28470268	ES	Spain	Public Research Organisation (PRO)	Ramiro de Maeztu 9	Madrid	28040
Centro de Tecnología Biomédica-UPM	CTB-UPM	ESQ2818015F	ES	Spain	Technology Centre	Parque Científico y Tecnológico de la UPM	Pozuelo de Alarcón	28223
Fundación Instituto de Investigación Sanitaria Santiago de Compostela	Fundación IDIS	ESG15796683	ES	Spain	Public Research Organisation (PRO)	Travesía da Choupana	Santiago de Compostela	15706
Fundación Instituto Valenciano de Infertilidad	Fundación IVI	ESG96699566	ES	Spain	Public Research Organisation (PRO)	Av. Fernando Abril Martorell 106. Planta -1	Valencia	46026
Fundación Investigación Biomédica del Hospital 12 de Octubre	FIBH12O	ESG83727016	ES	Spain	Public Research Organisation (PRO)	Av. de Córdoba s/n	Madrid	28041
Germans Trias i Pujol Research Institute	IGTP	ESG60805462	ES	Spain	Public Research Organisation (PRO)	Camí de les Escoles s/n	Badalona	08916
Hospital Clínico San Carlos	HCSC	ESQ2877008I	ES	Spain	Public Research Organisation (PRO)	Prof Martín Lagos s/n	Madrid	28040
Hospital Universitario Vall d´Hebron	HUVdH	ESG60594009	ES	Spain	Public Research Organisation (PRO)	Pg. de la Vall d'Hebron 119	Barcelona	08935
Hospital Universitario 12 de Octubre	H12O	ESQ2877010E	ES	Spain	Public Research Organisation (PRO)	Av. de Córdoba	Madrid	28041
Hospital Universitario Fundación Jiménez Díaz	HUFJD	ESG28198240	ES	Spain	Public Research Organisation (PRO)	Av. de los Reyes Católicos 2	Madrid	28040
Hospital Universitario Ruber Juan Bravo Madrid	HURJBM	ESA28049492	ES	Spain	Other	Juan Bravo 39	Madrid	28006
Hospital Universitario y Politécnico La Fe	HUyPLaFe	ESG97067557	ES	Spain	Public Research Organisation (PRO)	Av. Fernando Abril Martorell 106. Planta -1	Valencia	46026
Ikan Biotech SL		ESB71240246	ES	Spain	SME	Plaza Cein 5 - A 4	Noáin	31110
Imperial College of London	ICL	GB649926678	GB	United Kingdom of Great Britain and Northern Ireland	Higher Education Institution (HEI)	Exhibition Road	London	SW7 2BX
Institute for Research in Biomedicine	IRB	ESG63971451	ES	Spain	Public Research Organisation (PRO)	Carrer de Baldiri Reixac 10	Barcelona	08028
Instituto de Ciencia de Materiales de Barcelona-CSIC	ICMAB-CSIC	ESQ2818002D	ES	Spain	Public Research Organisation (PRO)	Carrer dels Til·lers s/n	Cerdanyola Del Vallés	08193
Instituto Aragonés de Ciencias de la Salud	IACS	ESQ5000654C	ES	Spain	Public Research Organisation (PRO)	Av. San Juan Bosco 13	Zaragoza	50009
Instituto Cajal-CSIC	IC-CSIC	ESQ2818002D	ES	Spain	Public Research Organisation (PRO)	Av. Doctor Arce 37	Madrid	28002
Instituto de Biomedicina y Biotecnología de Cantabria-CSIC	IBBTEC-CSIC	ESQ2818002D	ES	Spain	Public Research Organisation (PRO)	Albert Einstein 22	Santander	39011
Instituto de Ciencia de Materiales de Madrid-CSIC	ICMM-CSIC	ESQ2818002D	ES	Spain	Public Research Organisation (PRO)	Sor Juana Inés de la Cruz	Cantoblanco	28049
Instituto de Investigação e Inovação em Saúde	IISIeS	PT515769053	PT	Portugal	Public Research Organisation (PRO)	Alfredo Allen 208	Porto	4200-135
Fundación de Gestión Sanitaria del Hospital de la Santa Creu i Sant Pau	FGSHSCSP	ESG59780494	ES	Spain	Public Research Organisation (PRO)	Sant Antoni Maria Claret 167	Barcelona	08025
Instituto de Investigación Sanitaria Biodonostia	IIS Biodonostia	ESG75020313	ES	Spain	Public Research Organisation (PRO)	Dr. Begiristain s/n	San Sebastián	20114
Instituto de Investigación Sanitaria Fundación Jiménez Díaz	IISFJD	ESG85874949	ES	Spain	Public Research Organisation (PRO)	Av. Reyes Católicos 2	Madrid	28049
Instituto de Investigación Sanitaria Gregorio Marañón	IiSGM	ESG83195305	ES	Spain	Public Research Organisation (PRO)	Dr. Esquerdo 56	Madrid	28007
Fundación para la Investigación Biomédica del Hospital Clínico San Carlos	IdISSC	ESG83727115	ES	Spain	Public Research Organisation (PRO)	Prof. Martín Lagos	Madrid	28040
Instituto de Investigación Sanitaria La Fe	IIS La Fe	ESG97067557	ES	Spain	Public Research Organisation (PRO)	Av. Fernando Abril Martorell 106. Planta 7	Valencia	46026
"Instituto de Investigaciones Biomédicas ""Alberto Sols""-CSIC-UAM"	IIBm	ESQ2818002D	ES	Spain	Public Research Organisation (PRO)	Arturo Duperier 4	Madrid	28029
Instituto de Investigaciones Biomédicas de Barcelona-CSIC	IIBB-CSIC	ESQ2818002D	ES	Spain	Public Research Organisation (PRO)	Rosselló 161 6ª y 7ª planta	Barcelona	08036
Instituto de Química Médica-CSIC	IQM-CSIC	ESQ2818002D	ES	Spain	Public Research Organisation (PRO)	Juan de la Cierva 3	Madrid	28006
Instituto de Química Orgánica General-CSIC	IQOG-CSIC	ESQ2818002D	ES	Spain	Public Research Organisation (PRO)	Juan de la Cierva 3	Madrid	28006
Instituto Maimónides de Investigación Biomédica de Córdoba	IMIBIC	ESG14825277	ES	Spain	Public Research Organisation (PRO)	Av. Menéndez Pidal	Córdoba	14004
La Rochelle University	LRU	FR21191700327	FR	France	Higher Education Institution (HEI)	Av. Albert Einstein	La Rochelle	17000
Medical Research Council	MRC	GB287461957	GB	United Kingdom of Great Britain and Northern Ireland	Public Research Organisation (PRO)	Polaris House	Swindon	SN2 1FL
Royal College of Surgeons in Ireland	RCSI	IE2199803V	IE	Ireland	Higher Education Institution (HEI)	123 St Stephens Green	Dublin	D02 YN77
IRCCS Ospedale San Raffaele Scientific Institute	IRCCS	IT07636600962	IT	Italy	Public Research Organisation (PRO)	Via Olgettina 60	Milano	20132
The Standard Fireworks Rajaratnam College for Women	SFR	04562 220389	IN	India	Higher Education Institution (HEI)	Thiruthangal Road	Sivakasi	626123
SOMAProbes S.L.		ESB75121756	ES	Spain	SME	Pº Miramón 170	San Sebastián	20014
Universidad Autónoma de Madrid	UAM	ESQ2818013A	ES	Spain	Higher Education Institution (HEI)	Ciudad Universitaria Cantoblanco	Cantoblanco	28049
Universidad Autonoma Metropolitana Unidad Iztapalapa		DDF140124SX8	MX	Mexico	Higher Education Institution (HEI)	Av. San Rafael Atlixco 186	Iztapalapa	09340
Universidad de Oviedo	UniOvi	ESQ3318001I	ES	Spain	Higher Education Institution (HEI)	San Francisco 3	Oviedo	33003
Universidad de Valencia	UV	ESQ4618001D	ES	Spain	Higher Education Institution (HEI)	Av. de Blasco Ibáñez 13	Valencia	46010
Universidad Francisco de Vitoria	UFV	ESG80480197	ES	Spain	Higher Education Institution (HEI)	Carretera M 515 KM 1.8	Pozuelo de Alarcón	28223
Universidad del País Vasco	UPV/EHU	ESQ4818001B	ES	Spain	Higher Education Institution (HEI)	Barrio Sarriena s/n	Leioa	48940
Fundación Achucarro Basque Center for Neuroscience		ESG95686051	ES	Spain	Public Research Organisation (PRO)	Barrio Sarriena s/n	Leioa	48940
Universidad Politécnica de Valencia	UPV	ESQ4618002B	ES	Spain	Higher Education Institution (HEI)	Camí de Vera s/n	Valencia	46022
Unidad de Cirugía Artroscópica S.L.	UCA	ESB01170208	ES	Spain	SME	Beato Tomás de Zumárraga 10	Vitoria	01008
Avanqua Oceanografic S.L.	AOSL	ESB98725252	ES	Spain	SME	Gran Vía Marqués del Turia 19	Valencia	46005
Centre National de la Recherche Scientifique	CNRS	FR40180089013	FR	France	Public Research Organisation (PRO)	Michel Ange 3	Paris	75794
Instituto de Medicina Molecular	João Lobo Antunes · iMM	PT506134466	PT	Portugal	Public Research Organisation (PRO)	Av. Prof. Egas Moniz	Lisboa	1649-028
Research Institute I3Bs-University of Minho	I3Bs	PT502011378	PT	Portugal	Public Research Organisation (PRO)	Avepark - Parque de Ciência e Tecnologia	Barco	4805-017
